File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Loader.cs,106,87,45,5,15,0,4,13,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\MonoGame.cs,178,131,87,3,34,1,13,114,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Renderer.cs,181,144,65,9,27,0,10,38,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Debugging\MetamorphizeTankAction.cs,77,55,35,3,13,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Debugging\RemoveUnnecessaryObjectsAction.cs,51,34,20,4,8,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Debugging\SavePositionAction.cs,47,33,15,0,5,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Debugging\ToggleConsoleAction.cs,28,16,8,0,3,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Debugging\ToggleGuidesAction.cs,36,23,11,1,4,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Debugging\WiggleWiggleAction.cs,37,24,13,1,4,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Game\ToggleFullScreenAction.cs,48,32,17,1,7,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Game\ToggleMinimapPositionAction.cs,43,30,17,2,4,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Game\TogglePauseAction.cs,51,34,18,1,8,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Game\ZoomInAction.cs,48,35,20,1,4,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Game\ZoomOutAction.cs,51,36,19,2,5,1,10,100,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\MenuNavigation\MenuActionBase.cs,50,35,17,2,6,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\MenuNavigation\MenuDownAction.cs,37,24,11,0,4,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\MenuNavigation\MenuMouseControlAction.cs,78,60,28,4,9,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\MenuNavigation\MenuSelectAction.cs,39,25,11,1,5,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\MenuNavigation\MenuUpAction.cs,37,24,11,0,4,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\PlayerControl\MoveBackwardAction.cs,50,33,12,0,5,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\PlayerControl\MoveForwardAction.cs,50,33,12,0,5,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\PlayerControl\ShootAction.cs,47,30,11,0,5,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\PlayerControl\TankMouseTurretControl.cs,90,66,28,3,12,1,12,110,0,0
